note_id,filename,word_count,line_count,section_count,max_heading_depth,list_item_count,code_block_count,code_block_line_count,image_count,table_count,quote_block_count,tag_count,has_code,has_images,has_table,has_quotes,has_lists,is_empty,has_math
bag_of_words.py,Bag_of_Words.py,90,5,1,3,0,0,0,0,0,0,1,False,False,False,False,False,False,False
bandit_example_output,Bandit example output,36,127,2,2,0,3,134,0,0,0,1,True,False,False,False,False,False,False
addressing_multicollinearity.py,Addressing_Multicollinearity.py,3,1,0,0,0,0,0,0,0,0,1,False,False,False,False,False,True,False
bandit_example_fixed.py,Bandit_Example_Fixed.py,4,1,0,0,0,0,0,0,0,0,1,False,False,False,False,False,True,False
click_implementation.py,Click_Implementation.py,161,44,5,3,0,6,15,0,0,0,1,True,False,False,False,False,False,False
cross_entropy_single.py,Cross_Entropy_Single.py,287,24,2,3,6,0,0,0,0,0,1,False,False,False,False,True,False,True
cross_entropy.py,Cross_Entropy.py,487,34,4,3,3,0,0,0,0,0,1,False,False,False,False,True,False,False
comparing_ensembles.py,Comparing_Ensembles.py,82,8,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False
distribution_analysis.py,Distribution_Analysis.py,262,20,0,0,5,0,0,0,0,0,1,False,False,False,False,True,False,False
debugging.py,Debugging.py,135,8,1,3,0,0,0,0,0,0,1,False,False,False,False,False,False,False
factor_analysis.py,Factor_Analysis.py,520,43,8,4,9,0,0,0,0,0,1,False,False,False,False,True,False,False
fastapi_example.py,FastAPI_Example.py,850,259,23,3,33,26,101,0,24,0,1,True,False,True,False,True,False,False
forecasting_autoarima.py,Forecasting_AutoArima.py,52,6,2,2,3,0,0,0,0,0,1,False,False,False,False,True,False,False
forecasting_baseline.py,Forecasting_Baseline.py,116,7,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False
forecasting_exponential_smoothing.py,Forecasting_Exponential_Smoothing.py,105,5,1,2,0,0,0,0,0,0,1,False,False,False,False,False,False,False
gaussian_mixture_model_implementation.py,Gaussian_Mixture_Model_Implementation.py,34,4,0,0,2,0,0,0,0,0,1,False,False,False,False,True,False,False
imbalanced_datasets_smote.py,Imbalanced_Datasets_SMOTE.py,413,32,4,4,4,0,0,0,43,0,1,False,False,True,False,True,False,False
handling_missing_data_basic.ipynb,Handling_Missing_Data_Basic.ipynb,5,1,0,0,0,0,0,0,0,0,1,False,False,False,False,False,True,False
handling_missing_data.ipynb,Handling_Missing_Data.ipynb,4,1,0,0,0,0,0,0,0,0,1,False,False,False,False,False,True,False
k_means.py,K_Means.py,180,19,1,2,0,0,0,0,0,0,1,False,False,False,False,False,False,False
pca_analysis.ipynb,PCA_Analysis.ipynb,172,21,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False
one_hot_encoding.py,One_hot_encoding.py,159,10,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False
momentum.py,Momentum.py,2,1,0,0,0,0,0,0,0,0,1,False,False,False,False,False,True,False
pca_based_anomaly_detection.py,PCA_Based_Anomaly_Detection.py,5,1,0,0,0,0,0,0,0,0,1,False,False,False,False,False,True,False
pandas_stack.py,Pandas_Stack.py,3,1,0,0,0,0,0,0,0,0,1,False,False,False,False,False,True,False
pycaret_anomaly.ipynb,Pycaret_Anomaly.ipynb,3,1,0,0,0,0,0,0,0,0,1,False,False,False,False,False,True,False
pandas_common.py,Pandas_Common.py,3,1,0,0,0,0,0,0,0,0,1,False,False,False,False,False,True,False
pycaret_example.py,Pycaret_Example.py,3,1,0,0,0,0,0,0,0,0,1,False,False,False,False,False,True,False
pydantic_more.py,Pydantic_More.py,72,9,1,3,0,0,0,0,0,0,1,False,False,False,False,False,False,False
pydantic.py,Pydantic.py,112,8,1,3,5,0,0,0,0,0,1,False,False,False,False,True,False,False
roc_curve.py,ROC_Curve.py,463,51,7,3,16,0,0,0,0,0,1,False,False,False,False,True,False,False
regression_logistic_metrics.ipynb,Regression_Logistic_Metrics.ipynb,5,1,0,0,0,0,0,0,0,0,1,False,False,False,False,False,True,False
